purpose,i,j,model_requested,circuit_index,counts_json,shots_observed
train_kernel,1,9,qksvc,18,"{""0000"": 252, ""1000"": 2, ""0010"": 2}",256
train_kernel,2,2,qksvc,19,"{""0000"": 252, ""1000"": 1, ""0010"": 1, ""1100"": 1, ""0100"": 1}",256
train_kernel,2,3,qksvc,20,"{""0011"": 242, ""0010"": 6, ""0001"": 6, ""1011"": 1, ""0111"": 1}",256
train_kernel,2,4,qksvc,21,"{""0000"": 247, ""1000"": 2, ""0100"": 1, ""0010"": 4, ""0001"": 2}",256
train_kernel,2,5,qksvc,22,"{""0011"": 88, ""0000"": 40, ""0010"": 75, ""0001"": 51, ""1001"": 1, ""0100"": 1}",256
train_kernel,2,6,qksvc,23,"{""0011"": 232, ""0010"": 9, ""0001"": 12, ""0111"": 2, ""1011"": 1}",256
train_kernel,2,7,qksvc,24,"{""0000"": 210, ""0011"": 5, ""0001"": 14, ""0010"": 26, ""0100"": 1}",256
train_kernel,2,8,qksvc,25,"{""0000"": 239, ""0001"": 6, ""0010"": 8, ""0100"": 2, ""0110"": 1}",256
train_kernel,2,9,qksvc,26,"{""0000"": 246, ""0001"": 3, ""0010"": 4, ""0100"": 2, ""1000"": 1}",256
train_kernel,3,3,qksvc,27,"{""0000"": 249, ""0100"": 3, ""1000"": 3, ""0010"": 1}",256
train_kernel,3,4,qksvc,28,"{""0011"": 218, ""0001"": 24, ""0010"": 10, ""1011"": 1, ""1001"": 1, ""1010"": 1, ""0000"": 1}",256
train_kernel,3,5,qksvc,29,"{""0010"": 55, ""0011"": 12, ""0000"": 135, ""0001"": 46, ""0100"": 2, ""1000"": 4, ""0101"": 1, ""1010"": 1}",256
train_kernel,3,6,qksvc,30,"{""0000"": 249, ""0010"": 5, ""1000"": 2}",256
train_kernel,3,7,qksvc,31,"{""0011"": 151, ""0010"": 44, ""0000"": 13, ""0001"": 46, ""1011"": 2}",256
train_kernel,3,8,qksvc,32,"{""0111"": 2, ""0011"": 244, ""0010"": 3, ""1011"": 3, ""0001"": 4}",256
train_kernel,3,9,qksvc,33,"{""0011"": 248, ""0001"": 5, ""1011"": 1, ""0010"": 2}",256
train_kernel,4,4,qksvc,34,"{""0000"": 252, ""0010"": 1, ""0100"": 2, ""1000"": 1}",256
train_kernel,4,5,qksvc,35,"{""0000"": 65, ""0010"": 71, ""0011"": 56, ""0001"": 62, ""1010"": 1, ""0101"": 1}",256
train_kernel,4,6,qksvc,36,"{""0011"": 220, ""0001"": 17, ""0010"": 15, ""0111"": 1, ""0000"": 1, ""0110"": 1, ""1111"": 1}",256
train_kernel,4,7,qksvc,37,"{""0000"": 228, ""0001"": 10, ""0010"": 15, ""1000"": 2, ""0100"": 1}",256
train_kernel,4,8,qksvc,38,"{""0000"": 227, ""0001"": 12, ""0100"": 1, ""0010"": 12, ""1000"": 2, ""0101"": 1, ""1100"": 1}",256
train_kernel,4,9,qksvc,39,"{""0000"": 235, ""0010"": 13, ""0001"": 7, ""0011"": 1}",256
train_kernel,5,5,qksvc,40,"{""0000"": 255, ""1000"": 1}",256
train_kernel,5,6,qksvc,41,"{""0000"": 137, ""0001"": 41, ""0010"": 60, ""0011"": 17, ""1000"": 1}",256
train_kernel,5,7,qksvc,42,"{""0000"": 134, ""0010"": 52, ""0011"": 21, ""0001"": 44, ""0111"": 1, ""1010"": 1, ""1001"": 1, ""0101"": 1, ""0100"": 1}",256
train_kernel,5,8,qksvc,43,"{""0011"": 117, ""0010"": 58, ""0001"": 53, ""0000"": 25, ""0110"": 2, ""1001"": 1}",256
train_kernel,5,9,qksvc,44,"{""0011"": 117, ""0000"": 27, ""0001"": 56, ""0010"": 53, ""1011"": 2, ""0111"": 1}",256
train_kernel,6,6,qksvc,45,"{""0000"": 252, ""1000"": 1, ""0010"": 2, ""0100"": 1}",256
train_kernel,6,7,qksvc,46,"{""0010"": 42, ""0000"": 16, ""0011"": 144, ""0001"": 52, ""0111"": 1, ""1011"": 1}",256
train_kernel,6,8,qksvc,47,"{""0011"": 245, ""0001"": 5, ""0111"": 2, ""1001"": 1, ""0010"": 1, ""1011"": 2}",256
train_kernel,6,9,qksvc,48,"{""0011"": 247, ""0001"": 4, ""0010"": 2, ""1011"": 3}",256
train_kernel,7,7,qksvc,49,"{""0000"": 246, ""0010"": 6, ""1000"": 4}",256
train_kernel,7,8,qksvc,50,"{""0010"": 37, ""0001"": 39, ""0000"": 170, ""0011"": 7, ""0100"": 1, ""1001"": 1, ""1000"": 1}",256
train_kernel,7,9,qksvc,51,"{""0000"": 178, ""0001"": 33, ""0010"": 40, ""1000"": 3, ""0011"": 2}",256
train_kernel,8,8,qksvc,52,"{""0000"": 248, ""0010"": 2, ""1000"": 4, ""1010"": 1, ""0100"": 1}",256
train_kernel,8,9,qksvc,53,"{""0000"": 250, ""0010"": 5, ""1000"": 1}",256
train_kernel,9,9,qksvc,54,"{""0000"": 253, ""0010"": 2, ""0100"": 1}",256
valid_kernel,0,0,qksvc,55,"{""0000"": 242, ""0001"": 3, ""0010"": 4, ""1000"": 3, ""0100"": 3, ""1001"": 1}",256
valid_kernel,0,1,qksvc,56,"{""0000"": 251, ""0010"": 3, ""1000"": 2}",256
valid_kernel,0,2,qksvc,57,"{""0000"": 247, ""0010"": 6, ""0001"": 3}",256
valid_kernel,0,3,qksvc,58,"{""0011"": 244, ""1011"": 3, ""0010"": 4, ""0001"": 4, ""0111"": 1}",256
valid_kernel,0,4,qksvc,59,"{""0000"": 227, ""0001"": 12, ""0010"": 13, ""1000"": 3, ""1100"": 1}",256
valid_kernel,0,5,qksvc,60,"{""0000"": 32, ""0011"": 118, ""0001"": 59, ""0010"": 44, ""1011"": 2, ""1010"": 1}",256
valid_kernel,0,6,qksvc,61,"{""0011"": 246, ""0001"": 3, ""1011"": 3, ""0010"": 3, ""0111"": 1}",256
valid_kernel,0,7,qksvc,62,"{""0001"": 30, ""0000"": 167, ""0010"": 49, ""1000"": 1, ""0011"": 9}",256
valid_kernel,0,8,qksvc,63,"{""0000"": 246, ""0010"": 5, ""1000"": 3, ""0100"": 2}",256
valid_kernel,0,9,qksvc,64,"{""0000"": 251, ""1000"": 2, ""0010"": 3}",256
valid_kernel,1,0,qksvc,65,"{""0011"": 248, ""0000"": 1, ""0010"": 2, ""1011"": 2, ""0111"": 1, ""1001"": 1, ""0001"": 1}",256
valid_kernel,1,1,qksvc,66,"{""0011"": 250, ""0111"": 2, ""1011"": 1, ""0001"": 3}",256
valid_kernel,1,2,qksvc,67,"{""0011"": 247, ""0001"": 5, ""1011"": 2, ""0010"": 1, ""0111"": 1}",256
valid_kernel,1,3,qksvc,68,"{""0000"": 241, ""0010"": 9, ""1000"": 3, ""0001"": 2, ""0100"": 1}",256
valid_kernel,1,4,qksvc,69,"{""0011"": 238, ""0001"": 11, ""0000"": 1, ""0111"": 3, ""0010"": 3}",256
valid_kernel,1,5,qksvc,70,"{""0001"": 63, ""0010"": 60, ""1000"": 2, ""0000"": 86, ""0011"": 44, ""1010"": 1}",256
valid_kernel,1,6,qksvc,71,"{""0000"": 241, ""0010"": 11, ""1000"": 2, ""0001"": 2}",256
valid_kernel,1,7,qksvc,72,"{""0010"": 28, ""0001"": 22, ""0011"": 197, ""1011"": 4, ""0000"": 3, ""0111"": 2}",256
valid_kernel,1,8,qksvc,73,"{""0011"": 250, ""0010"": 4, ""1011"": 2}",256
valid_kernel,1,9,qksvc,74,"{""0111"": 1, ""0011"": 247, ""1011"": 3, ""0010"": 3, ""0001"": 2}",256
valid_kernel,2,0,qksvc,75,"{""0000"": 238, ""0010"": 6, ""1000"": 2, ""1010"": 1, ""0100"": 5, ""0001"": 4}",256
valid_kernel,2,1,qksvc,76,"{""0000"": 238, ""0010"": 9, ""0001"": 3, ""1000"": 3, ""0100"": 3}",256
valid_kernel,2,2,qksvc,77,"{""0000"": 237, ""0010"": 11, ""0001"": 8}",256
valid_kernel,2,3,qksvc,78,"{""0011"": 247, ""0010"": 4, ""0001"": 3, ""1011"": 2}",256
valid_kernel,2,4,qksvc,79,"{""0100"": 2, ""1000"": 3, ""0000"": 209, ""0010"": 23, ""0001"": 18, ""0011"": 1}",256
valid_kernel,2,5,qksvc,80,"{""0010"": 48, ""0011"": 141, ""0001"": 54, ""0000"": 12, ""1001"": 1}",256
valid_kernel,2,6,qksvc,81,"{""0011"": 249, ""0111"": 2, ""1011"": 2, ""0010"": 1, ""0001"": 1, ""1010"": 1}",256
valid_kernel,2,7,qksvc,82,"{""0000"": 179, ""0010"": 35, ""0001"": 29, ""0011"": 10, ""0100"": 2, ""1000"": 1}",256
valid_kernel,2,8,qksvc,83,"{""0000"": 247, ""0100"": 1, ""0010"": 5, ""1000"": 2, ""0001"": 1}",256
valid_kernel,2,9,qksvc,84,"{""0000"": 253, ""0010"": 3}",256
valid_kernel,3,0,qksvc,85,"{""0000"": 242, ""0100"": 2, ""0001"": 2, ""1000"": 2, ""0010"": 8}",256
valid_kernel,3,1,qksvc,86,"{""0000"": 246, ""0010"": 7, ""0001"": 2, ""0100"": 1}",256
valid_kernel,3,2,qksvc,87,"{""0000"": 239, ""0010"": 12, ""0011"": 1, ""0001"": 4}",256
valid_kernel,3,3,qksvc,88,"{""0011"": 247, ""0010"": 4, ""1011"": 3, ""0001"": 1, ""0111"": 1}",256
valid_kernel,3,4,qksvc,89,"{""0000"": 230, ""0010"": 10, ""0001"": 15, ""0011"": 1}",256
valid_kernel,3,5,qksvc,90,"{""0011"": 127, ""0010"": 53, ""0001"": 53, ""0000"": 22, ""1001"": 1}",256
valid_kernel,3,6,qksvc,91,"{""0011"": 252, ""1011"": 2, ""0010"": 1, ""0001"": 1}",256
valid_kernel,3,7,qksvc,92,"{""0000"": 162, ""0010"": 48, ""0011"": 9, ""0001"": 34, ""1000"": 3}",256
valid_kernel,3,8,qksvc,93,"{""0000"": 252, ""1000"": 4}",256
valid_kernel,3,9,qksvc,94,"{""0000"": 249, ""0010"": 5, ""1000"": 2}",256
valid_kernel,4,0,qksvc,95,"{""0011"": 245, ""1011"": 3, ""0111"": 2, ""0001"": 6}",256
valid_kernel,4,1,qksvc,96,"{""0011"": 250, ""0010"": 3, ""1011"": 2, ""0001"": 1}",256
valid_kernel,4,2,qksvc,97,"{""0011"": 248, ""0001"": 4, ""1011"": 2, ""0111"": 1, ""0010"": 1}",256
valid_kernel,4,3,qksvc,98,"{""0000"": 242, ""1000"": 4, ""0001"": 3, ""0010"": 7}",256
valid_kernel,4,4,qksvc,99,"{""0011"": 221, ""0001"": 17, ""0010"": 12, ""1011"": 4, ""0111"": 2}",256
valid_kernel,4,5,qksvc,100,"{""0000"": 100, ""0010"": 65, ""0001"": 50, ""0011"": 38, ""1000"": 1, ""1011"": 1, ""1001"": 1}",256
valid_kernel,4,6,qksvc,101,"{""0000"": 244, ""0010"": 6, ""0001"": 4, ""1000"": 1, ""1010"": 1}",256
valid_kernel,4,7,qksvc,102,"{""0011"": 193, ""0010"": 31, ""0001"": 26, ""1011"": 3, ""0000"": 3}",256
valid_kernel,4,8,qksvc,103,"{""0011"": 250, ""0010"": 3, ""1011"": 1, ""0001"": 1, ""0111"": 1}",256
valid_kernel,4,9,qksvc,104,"{""0011"": 248, ""0010"": 3, ""0001"": 3, ""1011"": 2}",256
valid_kernel,5,0,qksvc,105,"{""0000"": 28, ""1010"": 18, ""1001"": 66, ""1000"": 88, ""0001"": 25, ""0010"": 7, ""1011"": 15, ""0011"": 8, ""1101"": 1}",256
valid_kernel,5,1,qksvc,106,"{""0000"": 27, ""1000"": 83, ""1001"": 65, ""0110"": 1, ""1010"": 23, ""0010"": 10, ""0001"": 22, ""1011"": 20, ""0011"": 5}",256
valid_kernel,5,2,qksvc,107,"{""1000"": 92, ""1001"": 62, ""1010"": 22, ""0000"": 22, ""1011"": 18, ""0001"": 21, ""0011"": 10, ""0010"": 8, ""1111"": 1}",256
valid_kernel,5,3,qksvc,108,"{""1011"": 129, ""1000"": 8, ""1010"": 37, ""0010"": 14, ""0011"": 45, ""1001"": 15, ""0001"": 5, ""0000"": 2, ""1111"": 1}",256
valid_kernel,5,4,qksvc,109,"{""1011"": 37, ""1000"": 59, ""1001"": 70, ""0001"": 23, ""0010"": 7, ""1010"": 29, ""0000"": 20, ""0011"": 10, ""0101"": 1}",256
valid_kernel,5,5,qksvc,110,"{""0011"": 49, ""1011"": 197, ""1001"": 6, ""1111"": 2, ""0001"": 2}",256
valid_kernel,5,6,qksvc,111,"{""0011"": 40, ""0010"": 18, ""1010"": 57, ""1011"": 118, ""1001"": 15, ""1101"": 1, ""0000"": 3, ""1000"": 3, ""0001"": 1}",256
valid_kernel,5,7,qksvc,112,"{""1100"": 1, ""1001"": 61, ""1010"": 34, ""0001"": 18, ""0010"": 8, ""1000"": 20, ""1011"": 77, ""0000"": 13, ""0011"": 23, ""1101"": 1}",256
valid_kernel,5,8,qksvc,113,"{""1000"": 99, ""0001"": 21, ""0000"": 37, ""1001"": 44, ""0010"": 7, ""0011"": 6, ""1011"": 16, ""1010"": 25, ""0110"": 1}",256
valid_kernel,5,9,qksvc,114,"{""0000"": 37, ""1000"": 101, ""1011"": 8, ""1001"": 61, ""0010"": 11, ""1010"": 26, ""0011"": 2, ""0001"": 10}",256
valid_kernel,6,0,qksvc,115,"{""0000"": 246, ""0001"": 2, ""1000"": 1, ""0010"": 7}",256
valid_kernel,6,1,qksvc,116,"{""0000"": 243, ""1000"": 3, ""0001"": 4, ""0010"": 4, ""0100"": 2}",256
valid_kernel,6,2,qksvc,117,"{""0000"": 242, ""0001"": 2, ""0010"": 10, ""0110"": 1, ""1010"": 1}",256
valid_kernel,6,3,qksvc,118,"{""0011"": 246, ""0010"": 4, ""1011"": 2, ""0111"": 1, ""0001"": 3}",256
valid_kernel,6,4,qksvc,119,"{""0000"": 216, ""0010"": 25, ""0100"": 2, ""0011"": 1, ""0001"": 11, ""1000"": 1}",256
valid_kernel,6,5,qksvc,120,"{""0011"": 121, ""0001"": 48, ""0010"": 46, ""0000"": 36, ""1010"": 1, ""1001"": 2, ""0111"": 1, ""0110"": 1}",256
valid_kernel,6,6,qksvc,121,"{""0011"": 246, ""0001"": 4, ""0010"": 1, ""0111"": 3, ""1011"": 2}",256
valid_kernel,6,7,qksvc,122,"{""0000"": 172, ""0010"": 41, ""0011"": 12, ""0001"": 30, ""1000"": 1}",256
valid_kernel,6,8,qksvc,123,"{""0000"": 246, ""0010"": 5, ""0100"": 2, ""1000"": 3}",256
valid_kernel,6,9,qksvc,124,"{""0000"": 251, ""0010"": 1, ""1000"": 2, ""0001"": 2}",256
valid_kernel,7,0,qksvc,125,"{""0000"": 244, ""0010"": 7, ""1000"": 2, ""0001"": 2, ""0100"": 1}",256
valid_kernel,7,1,qksvc,126,"{""0000"": 247, ""0010"": 8, ""0100"": 1}",256
valid_kernel,7,2,qksvc,127,"{""0000"": 243, ""0010"": 10, ""0001"": 1, ""0100"": 1, ""1000"": 1}",256
valid_kernel,7,3,qksvc,128,"{""0011"": 245, ""0010"": 2, ""1001"": 1, ""0001"": 7, ""1011"": 1}",256
valid_kernel,7,4,qksvc,129,"{""0000"": 233, ""0010"": 11, ""0001"": 8, ""1000"": 2, ""0100"": 1, ""1001"": 1}",256
valid_kernel,7,5,qksvc,130,"{""0011"": 117, ""0010"": 56, ""0000"": 28, ""0001"": 52, ""1010"": 1, ""0100"": 1, ""1000"": 1}",256
valid_kernel,7,6,qksvc,131,"{""0011"": 250, ""0001"": 3, ""0111"": 1, ""1011"": 1, ""0010"": 1}",256
valid_kernel,7,7,qksvc,132,"{""0001"": 30, ""0000"": 185, ""0010"": 36, ""0011"": 2, ""1010"": 1, ""1000"": 2}",256
valid_kernel,7,8,qksvc,133,"{""0000"": 254, ""0010"": 1, ""0100"": 1}",256
valid_kernel,7,9,qksvc,134,"{""0000"": 254, ""0100"": 1, ""0010"": 1}",256
valid_kernel,8,0,qksvc,135,"{""0000"": 248, ""0010"": 7, ""1000"": 1}",256
valid_kernel,8,1,qksvc,136,"{""0000"": 244, ""0010"": 7, ""1000"": 2, ""0001"": 2, ""0100"": 1}",256
valid_kernel,8,2,qksvc,137,"{""0000"": 243, ""0001"": 7, ""1000"": 2, ""0010"": 4}",256
valid_kernel,8,3,qksvc,138,"{""0011"": 248, ""0010"": 6, ""0001"": 2}",256
valid_kernel,8,4,qksvc,139,"{""0000"": 225, ""0010"": 14, ""0001"": 15, ""1000"": 2}",256
valid_kernel,8,5,qksvc,140,"{""0011"": 125, ""0000"": 25, ""0001"": 43, ""0010"": 62, ""1010"": 1}",256
valid_kernel,8,6,qksvc,141,"{""0011"": 251, ""1001"": 1, ""1011"": 2, ""0001"": 2}",256
valid_kernel,8,7,qksvc,142,"{""0010"": 36, ""0000"": 173, ""0001"": 38, ""0011"": 8, ""1010"": 1}",256
valid_kernel,8,8,qksvc,143,"{""0000"": 245, ""0010"": 8, ""0100"": 3}",256
valid_kernel,8,9,qksvc,144,"{""0000"": 254, ""1000"": 1, ""0010"": 1}",256
valid_kernel,9,0,qksvc,145,"{""0000"": 245, ""0001"": 1, ""0010"": 8, ""0100"": 2}",256
valid_kernel,9,1,qksvc,146,"{""0000"": 250, ""0010"": 3, ""1000"": 2, ""0001"": 1}",256
valid_kernel,9,2,qksvc,147,"{""0000"": 242, ""1000"": 1, ""0010"": 10, ""0001"": 3}",256
valid_kernel,9,3,qksvc,148,"{""0011"": 247, ""1011"": 3, ""0010"": 3, ""0001"": 3}",256
valid_kernel,9,4,qksvc,149,"{""0100"": 1, ""0000"": 226, ""0001"": 11, ""0010"": 15, ""1000"": 2, ""0011"": 1}",256
valid_kernel,9,5,qksvc,150,"{""0011"": 121, ""0010"": 51, ""0001"": 56, ""0000"": 26, ""1010"": 1, ""1011"": 1}",256
valid_kernel,9,6,qksvc,151,"{""0011"": 246, ""0001"": 7, ""1011"": 2, ""0000"": 1}",256
valid_kernel,9,7,qksvc,152,"{""0000"": 176, ""0001"": 32, ""0010"": 39, ""0011"": 8, ""1000"": 1}",256
valid_kernel,9,8,qksvc,153,"{""0000"": 250, ""0010"": 5, ""1000"": 1}",256
valid_kernel,9,9,qksvc,154,"{""0000"": 255, ""1000"": 1}",256
test_kernel,0,0,qksvc,155,"{""0011"": 249, ""0001"": 3, ""0010"": 3, ""0111"": 1}",256
test_kernel,0,1,qksvc,156,"{""0011"": 248, ""0001"": 3, ""1011"": 3, ""0010"": 1, ""0111"": 1}",256
test_kernel,0,2,qksvc,157,"{""0011"": 251, ""0111"": 1, ""1011"": 2, ""0010"": 1, ""0001"": 1}",256
test_kernel,0,3,qksvc,158,"{""0000"": 235, ""1000"": 2, ""0010"": 10, ""0001"": 7, ""0100"": 2}",256
test_kernel,0,4,qksvc,159,"{""0011"": 243, ""0010"": 6, ""0001"": 5, ""0111"": 1, ""1011"": 1}",256
test_kernel,0,5,qksvc,160,"{""0000"": 89, ""0011"": 44, ""0010"": 62, ""0001"": 56, ""1000"": 1, ""0100"": 2, ""0110"": 2}",256
test_kernel,0,6,qksvc,161,"{""0000"": 228, ""0010"": 14, ""0001"": 9, ""1000"": 3, ""0011"": 2}",256
test_kernel,0,7,qksvc,162,"{""0011"": 198, ""0001"": 26, ""0010"": 26, ""0111"": 1, ""1011"": 4, ""1001"": 1}",256
test_kernel,0,8,qksvc,163,"{""0011"": 237, ""1011"": 4, ""0001"": 7, ""0010"": 5, ""1010"": 1, ""0111"": 2}",256
test_kernel,0,9,qksvc,164,"{""0011"": 244, ""0001"": 5, ""1011"": 4, ""0010"": 3}",256
test_kernel,1,0,qksvc,165,"{""0000"": 243, ""0100"": 1, ""0001"": 6, ""1000"": 2, ""0010"": 4}",256
test_kernel,1,1,qksvc,166,"{""0000"": 236, ""0001"": 8, ""0010"": 9, ""1000"": 2, ""0011"": 1}",256
test_kernel,1,2,qksvc,167,"{""0000"": 234, ""0001"": 10, ""1000"": 2, ""0010"": 9, ""0100"": 1}",256
test_kernel,1,3,qksvc,168,"{""0011"": 252, ""1011"": 3, ""0001"": 1}",256
test_kernel,1,4,qksvc,169,"{""0000"": 216, ""0010"": 18, ""0001"": 16, ""1010"": 1, ""1000"": 2, ""0011"": 3}",256
test_kernel,1,5,qksvc,170,"{""0011"": 139, ""0001"": 58, ""0010"": 43, ""0000"": 14, ""1011"": 2}",256
test_kernel,1,6,qksvc,171,"{""0011"": 242, ""0001"": 6, ""0010"": 3, ""1011"": 4, ""0111"": 1}",256
test_kernel,1,7,qksvc,172,"{""0000"": 162, ""0010"": 42, ""0001"": 39, ""0101"": 1, ""1010"": 1, ""0011"": 9, ""1000"": 2}",256
test_kernel,1,8,qksvc,173,"{""0000"": 251, ""0010"": 3, ""0100"": 1, ""1000"": 1}",256
test_kernel,1,9,qksvc,174,"{""0000"": 252, ""0010"": 4}",256
test_kernel,2,0,qksvc,175,"{""0000"": 236, ""0010"": 12, ""0001"": 6, ""1000"": 1, ""1010"": 1}",256
test_kernel,2,1,qksvc,176,"{""0000"": 234, ""0010"": 13, ""0001"": 6, ""0100"": 2, ""1000"": 1}",256
test_kernel,2,2,qksvc,177,"{""0000"": 234, ""0010"": 11, ""0011"": 1, ""0110"": 1, ""1000"": 4, ""0001"": 4, ""0100"": 1}",256
test_kernel,2,3,qksvc,178,"{""0011"": 248, ""0001"": 2, ""1001"": 1, ""0010"": 3, ""1011"": 2}",256
test_kernel,2,4,qksvc,179,"{""0000"": 212, ""0010"": 21, ""0001"": 19, ""1000"": 1, ""0011"": 3}",256
test_kernel,2,5,qksvc,180,"{""0010"": 39, ""0011"": 139, ""0001"": 58, ""1011"": 3, ""0000"": 17}",256
test_kernel,2,6,qksvc,181,"{""0011"": 250, ""0010"": 2, ""0001"": 3, ""1011"": 1}",256
test_kernel,2,7,qksvc,182,"{""0001"": 39, ""0000"": 154, ""1000"": 3, ""0010"": 49, ""0011"": 10, ""0110"": 1}",256
test_kernel,2,8,qksvc,183,"{""0000"": 244, ""0100"": 2, ""0010"": 5, ""0001"": 5}",256
test_kernel,2,9,qksvc,184,"{""0000"": 246, ""0010"": 5, ""1000"": 4, ""0100"": 1}",256
test_kernel,3,0,qksvc,185,"{""0011"": 247, ""1011"": 3, ""0111"": 3, ""0001"": 3}",256
test_kernel,3,1,qksvc,186,"{""0011"": 250, ""0001"": 2, ""1011"": 2, ""0010"": 1, ""0111"": 1}",256
test_kernel,3,2,qksvc,187,"{""0011"": 247, ""1011"": 4, ""0010"": 3, ""0001"": 2}",256
test_kernel,3,3,qksvc,188,"{""0000"": 233, ""0010"": 12, ""0001"": 7, ""1000"": 2, ""1001"": 1, ""0100"": 1}",256
test_kernel,3,4,qksvc,189,"{""0011"": 244, ""0001"": 4, ""1011"": 4, ""0010"": 4}",256
test_kernel,3,5,qksvc,190,"{""0011"": 41, ""0010"": 62, ""0000"": 92, ""0001"": 59, ""1001"": 1, ""1100"": 1}",256
test_kernel,3,6,qksvc,191,"{""0000"": 241, ""0010"": 10, ""0001"": 3, ""0011"": 1, ""0101"": 1}",256
test_kernel,3,7,qksvc,192,"{""0011"": 217, ""0010"": 16, ""0001"": 16, ""1011"": 1, ""0000"": 5, ""0111"": 1}",256
test_kernel,3,8,qksvc,193,"{""0011"": 242, ""0010"": 7, ""0001"": 6, ""0111"": 1}",256
test_kernel,3,9,qksvc,194,"{""0011"": 247, ""0111"": 2, ""1011"": 2, ""0001"": 3, ""0010"": 2}",256
test_kernel,4,0,qksvc,195,"{""0011"": 253, ""0001"": 1, ""0010"": 1, ""1011"": 1}",256
test_kernel,4,1,qksvc,196,"{""0011"": 246, ""0001"": 5, ""0010"": 3, ""1011"": 2}",256
test_kernel,4,2,qksvc,197,"{""0011"": 249, ""1011"": 5, ""0001"": 2}",256
test_kernel,4,3,qksvc,198,"{""0000"": 234, ""0010"": 15, ""0001"": 4, ""0011"": 1, ""1000"": 2}",256
test_kernel,4,4,qksvc,199,"{""0011"": 238, ""0010"": 7, ""0001"": 7, ""0111"": 1, ""1010"": 1, ""1011"": 2}",256
test_kernel,4,5,qksvc,200,"{""0010"": 68, ""0001"": 55, ""0000"": 80, ""0011"": 51, ""0100"": 1, ""1000"": 1}",256
test_kernel,4,6,qksvc,201,"{""0000"": 237, ""0001"": 9, ""0010"": 7, ""0011"": 1, ""1000"": 2}",256
test_kernel,4,7,qksvc,202,"{""0011"": 205, ""0010"": 27, ""0001"": 17, ""0111"": 3, ""1011"": 1, ""1010"": 1, ""0000"": 2}",256
test_kernel,4,8,qksvc,203,"{""0011"": 244, ""1011"": 3, ""0001"": 4, ""0010"": 5}",256
test_kernel,4,9,qksvc,204,"{""0011"": 248, ""0001"": 3, ""0010"": 3, ""1001"": 1, ""1011"": 1}",256
test_kernel,5,0,qksvc,205,"{""0000"": 244, ""0100"": 4, ""0010"": 6, ""0001"": 2}",256
test_kernel,5,1,qksvc,206,"{""0000"": 244, ""0010"": 9, ""0001"": 1, ""1000"": 1, ""0100"": 1}",256
test_kernel,5,2,qksvc,207,"{""1000"": 2, ""0000"": 238, ""0100"": 2, ""0010"": 4, ""0001"": 8, ""0110"": 1, ""0011"": 1}",256
test_kernel,5,3,qksvc,208,"{""1011"": 3, ""0011"": 246, ""0111"": 1, ""0001"": 2, ""0010"": 4}",256
test_kernel,5,4,qksvc,209,"{""0000"": 231, ""0010"": 8, ""0001"": 15, ""1000"": 2}",256
