sample_index,original_test_index,label,weight,n_qubits,n_clbits,depth_untranspiled,size_untranspiled,ops_untranspiled
23,180,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
24,83,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
25,53,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
26,91,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
27,167,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
28,138,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
29,116,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
30,59,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
31,96,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
32,145,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
33,123,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
34,25,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
35,30,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
36,168,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
37,33,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
38,36,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
39,176,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
40,179,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
41,109,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
42,177,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
43,146,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
44,21,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
45,75,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
46,153,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
47,100,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
48,85,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
49,174,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
50,46,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
51,58,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
52,188,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
53,129,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
54,45,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
55,110,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
56,22,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
57,103,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
58,89,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
59,81,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
60,187,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
61,163,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
62,27,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
63,61,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
64,115,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
65,12,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
66,73,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
67,132,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
68,80,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
69,144,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
70,101,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
71,79,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
72,121,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
73,158,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
74,40,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
75,137,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
76,55,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
77,131,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
78,154,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
79,113,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
